"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","319","0.70%","91.67%","29","0.83%","8.33%","348","0.71%"
"Twenties (20-29)","9,607","21.11%","93.15%","706","20.10%","6.85%","10,313","21.03%"
"Thirties (30-39)","14,357","31.54%","91.93%","1,261","35.90%","8.07%","15,618","31.85%"
"Forties (40-49)","10,677","23.46%","92.23%","899","25.59%","7.77%","11,576","23.61%"
"Fifties (50-59)","6,559","14.41%","93.69%","442","12.58%","6.31%","7,001","14.28%"
"Sixties (60-69)","3,151","6.92%","95.40%","152","4.33%","4.60%","3,303","6.74%"
"Seventy + (70 and above)","846","1.86%","97.24%","24","0.68%","2.76%","870","1.77%"
"Total Reported","45,516","100%","92.83%","3,513","100%","7.17%","49,029","100%"
"Not Reported","397","","","3","","","400",""
"Grand Total","45,913","","","3,516","","","49,429",""
