"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","748","1.49%","96.39%","28","0.75%","3.61%","776","1.44%"
"Twenties (20-29)","14,626","29.16%","93.53%","1,012","26.99%","6.47%","15,638","29.01%"
"Thirties (30-39)","15,094","30.09%","92.20%","1,277","34.06%","7.80%","16,371","30.37%"
"Forties (40-49)","10,177","20.29%","92.12%","871","23.23%","7.88%","11,048","20.49%"
"Fifties (50-59)","6,756","13.47%","93.82%","445","11.87%","6.18%","7,201","13.36%"
"Sixties (60-69)","2,203","4.39%","95.66%","100","2.67%","4.34%","2,303","4.27%"
"Seventy + (70 and above)","561","1.12%","97.23%","16","0.43%","2.77%","577","1.07%"
"Total Reported","50,165","100%","93.05%","3,749","100%","6.95%","53,914","100.0%"
"Not Reported","176","","","1","","","177",""
"Grand Total","50,341","","","3,750","","","54,091",""
