"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","846","1.66%","96.25%","33","0.91%","3.75%","879","1.61%"
"Twenties (20-29)","15,642","30.77%","94.02%","995","27.58%","5.98%","16,637","30.56%"
"Thirties (30-39)","14,823","29.16%","92.45%","1,210","33.54%","7.55%","16,033","29.45%"
"Forties (40-49)","10,634","20.92%","92.27%","891","24.70%","7.73%","11,525","21.17%"
"Fifties (50-59)","6,515","12.82%","94.41%","386","10.70%","5.59%","6,901","12.68%"
"Sixties (60-69)","1,819","3.58%","95.89%","78","2.16%","4.11%","1,897","3.48%"
"Seventy + (70 and above)","556","1.09%","97.37%","15","0.42%","2.63%","571","1.05%"
"Total Reported","50,835","100%","93.37%","3,608","100%","6.63%","54,443","100%"
"Not Reported","82","","","1","","","83",""
"Grand Total","50,917","","","3,609","","","54,526",""
