"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,852","6.31%","96.65%","99","3.68%","3.35%","2,951","6.16%"
"Twenties","14,628","32.34%","95.11%","752","27.93%","4.89%","15,380","32.09%"
"Thirties","13,352","29.52%","93.31%","958","35.59%","6.69%","14,310","29.86%"
"Forties","10,118","22.37%","93.62%","690","25.63%","6.38%","10,808","22.55%"
"Fifties","3,362","7.43%","95.54%","157","5.83%","4.46%","3,519","7.34%"
"Sixties","782","1.73%","95.72%","35","1.30%","4.28%","817","1.70%"
"Seventy +","137","0.30%","99.28%","1","0.04%","0.72%","138","0.29%"
"Total Reported","45,231","100%","94.38%","2,692","100%","5.62%","47,923","100%"
"Not Reported","1","","","1","","","2",""
"Grand Total","45,232","","","2,693","","","47,925",""
