"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","407","0.86%","94.43%","24","0.63%","5.57%","431","0.84%"
"Twenties (20-29)","9,575","20.15%","92.85%","737","19.28%","7.15%","10,312","20.09%"
"Thirties (30-39)","14,731","31.00%","91.28%","1,408","36.84%","8.72%","16,139","31.44%"
"Forties (40-49)","11,434","24.06%","92.22%","964","25.22%","7.78%","12,398","24.15%"
"Fifties (50-59)","6,854","14.42%","93.42%","483","12.64%","6.58%","7,337","14.29%"
"Sixties (60-69)","3,546","7.46%","95.30%","175","4.58%","4.70%","3,721","7.25%"
"Seventy + (70 and above)","969","2.04%","96.90%","31","0.81%","3.10%","1,000","1.95%"
"Total Reported","47,516","100%","92.56%","3,822","100%","7.44%","51,338","100.0%"
"Not Reported","425","","","3","","","428",""
"Grand Total","47,941","","","3,825","","","51,766",""
