"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","796","1.59%","95.33%","39","1.10%","4.67%","835","1.56%"
"Twenties (20-29)","15,333","30.61%","94.07%","967","27.24%","5.93%","16,300","30.38%"
"Thirties (30-39)","14,580","29.10%","92.48%","1,186","33.41%","7.52%","15,766","29.39%"
"Forties (40-49)","10,495","20.95%","92.25%","882","24.85%","7.75%","11,377","21.21%"
"Fifties (50-59)","6,485","12.94%","94.44%","382","10.76%","5.56%","6,867","12.80%"
"Sixties (60-69)","1,853","3.70%","95.86%","80","2.25%","4.14%","1,933","3.60%"
"Seventy + (70 and above)","557","1.11%","97.55%","14","0.39%","2.45%","571","1.06%"
"Total Reported","50,099","100%","93.38%","3,550","100%","6.62%","53,649","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,099","","","3,550","","","53,649",""
