"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,056","2.07%","97.51%","27","0.73%","2.49%","1,083","1.98%"
"Twenties (20-29)","15,627","30.59%","93.71%","1,049","28.27%","6.29%","16,676","30.43%"
"Thirties (30-39)","14,777","28.92%","92.42%","1,212","32.67%","7.58%","15,989","29.18%"
"Forties (40-49)","11,132","21.79%","91.88%","984","26.52%","8.12%","12,116","22.11%"
"Fifties (50-59)","6,112","11.96%","94.54%","353","9.51%","5.46%","6,465","11.80%"
"Sixties (60-69)","1,503","2.94%","95.92%","64","1.73%","4.08%","1,567","2.86%"
"Seventy + (70 and above)","883","1.73%","97.68%","21","0.57%","2.32%","904","1.65%"
"Total Reported","51,090","100%","93.23%","3,710","100%","6.77%","","54,800  100.0%"
"Not Reported","289","","","3","","","292",""
"Grand Total","51,379","","","3,713","","","55,092",""
