"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,068","2.13%","96.13%","43","1.16%","3.87%","1,111","2.06%"
"Twenties (20-29)","15,821","31.49%","93.86%","1,035","27.94%","6.14%","16,856","31.25%"
"Thirties (30-39)","14,712","29.28%","92.22%","1,241","33.50%","7.78%","15,953","29.57%"
"Forties (40-49)","11,750","23.39%","92.14%","1,002","27.04%","7.86%","12,752","23.64%"
"Fifties (50-59)","5,388","10.72%","94.31%","325","8.77%","5.69%","5,713","10.59%"
"Sixties (60-69)","1,275","2.54%","96.52%","46","1.24%","3.48%","1,321","2.45%"
"Seventy + (70 and above)","226","0.45%","94.56%","13","0.35%","5.44%","239","0.44%"
"Total Reported","50,240","100%","93.13%","3,705","100%","6.87%","53,945","100%"
"Not Reported","91","","","13","","","104",""
"Grand Total","50,331","","","3,718","","","54,049",""
