"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","948","1.91%","96.73%","32","0.86%","3.27%","980","1.84%"
"Twenties (20-29)","15,223","30.72%","93.62%","1,038","27.79%","6.38%","16,261","30.52%"
"Thirties (30-39)","14,688","29.64%","92.33%","1,220","32.66%","7.67%","15,908","29.85%"
"Forties (40-49)","11,617","23.44%","91.80%","1,037","27.76%","8.20%","12,654","23.75%"
"Fifties (50-59)","5,525","11.15%","94.06%","349","9.34%","5.94%","5,874","11.02%"
"Sixties (60-69)","1,316","2.66%","96.48%","48","1.29%","3.52%","1,364","2.56%"
"Seventy + (70 and above)","234","0.47%","95.51%","11","0.29%","4.49%","245","0.46%"
"Total Reported","49,551","100%","92.99%","3,735","100%","7.01%","53,286","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","49,552","","","3,735","","","53,287",""
