"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","395","0.8%","95.87%","17","0.42%","4.13%","412","0.78%"
"Twenties (20-29)","9,476","19.3%","92.67%","750","18.73%","7.33%","10,226","19.25%"
"Thirties (30-39)","14,901","30.35%","91.25%","1,429","35.68%","8.75%","16,330","30.75%"
"Forties (40-49)","12,263","24.97%","91.95%","1,074","26.82%","8.05%","13,337","25.11%"
"Fifties (50-59)","7,092","14.44%","93.43%","499","12.46%","6.57%","7,591","14.29%"
"Sixties (60-69)","3,845","7.83%","95.06%","200","4.99%","4.94%","4,045","7.62%"
"Seventy + (70 and above)","1,132","2.31%","96.92%","36","0.9%","3.08%","1,168","2.2%"
"Total Reported","49,104","100.00%","92.46%","4,005","100.00%","7.54%","53,109","100.00%"
"Not Reported","459","","","3","","","462",""
"Grand Total","49,563","","","49,107","","","53,571",""
