"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","321","0.71%","92.51%","26","0.76%","7.49%","347","0.71%"
"Twenties (20-29)","9,756","21.47%","93.26%","705","20.53%","6.74%","10,461","21.40%"
"Thirties (30-39)","14,288","31.44%","91.90%","1,259","36.66%","8.10%","15,547","31.80%"
"Forties (40-49)","10,607","23.34%","92.51%","859","25.01%","7.49%","11,466","23.46%"
"Fifties (50-59)","6,553","14.42%","94.06%","414","12.06%","5.94%","6,967","14.25%"
"Sixties (60-69)","3,109","6.84%","95.46%","148","4.31%","4.54%","3,257","6.66%"
"Seventy + (70 and above)","816","1.80%","97.26%","23","0.67%","2.74%","839","1.72%"
"Total Reported","45,450","100%","92.98%","3,434","100%","7.02%","48,884","100%"
"Not Reported","382","","","3","","","385",""
"Grand Total","45,832","","","3,437","","","49,269",""
