"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","783","1.58%","96.43%","29","0.82%","3.57%","812","1.53%"
"Twenties (20-29)","15,066","30.41%","93.69%","1,014","28.69%","6.31%","16,080","30.29%"
"Thirties (30-39)","14,530","29.32%","92.57%","1,166","32.99%","7.43%","15,696","29.57%"
"Forties (40-49)","10,278","20.74%","92.69%","810","22.92%","7.31%","11,088","20.89%"
"Fifties (50-59)","6,421","12.96%","93.85%","421","11.91%","6.15%","6,842","12.89%"
"Sixties (60-69)","1,909","3.85%","95.93%","81","2.29%","4.07%","1,990","3.75%"
"Seventy + (70 and above)","562","1.13%","97.74%","13","0.37%","2.26%","575","1.08%"
"Total Reported","49,549","100%","93.34%","3,534","100%","6.66%","53,083","100%"
"Not Reported","113","","","1","","","114",""
"Grand Total","49,662","","","3,535","","","53,197",""
