"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","774","1.57%","95.09%","40","1.15%","4.91%","814","1.54%"
"Twenties (20-29)","14,975","30.29%","93.88%","976","28.09%","6.12%","15,951","30.15%"
"Thirties (30-39)","14,417","29.16%","92.69%","1,137","32.72%","7.31%","15,554","29.40%"
"Forties (40-49)","10,414","21.07%","92.46%","849","24.43%","7.54%","11,263","21.29%"
"Fifties (50-59)","6,432","13.01%","94.44%","379","10.91%","5.56%","6,811","12.87%"
"Sixties (60-69)","1,856","3.75%","95.92%","79","2.27%","4.08%","1,935","3.66%"
"Seventy + (70 and above)","566","1.14%","97.42%","15","0.43%","2.58%","581","1.10%"
"Total Reported","49,434","100%","93.43%","3,475","100%","6.57%","52,909","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,434","","","3,475","","","52,909",""
